season,team_abbr,coach_out,change_date,window,metric,n_pre,n_post,treated_pre,treated_post,control_pre,control_post,treated_delta,control_delta,did
2022-23,BKN,Steve Nash,2022-11-01,10,xpts_100poss,7,10,92.86170054907544,93.0600837332139,93.87025824622924,93.0737082461041,0.19838318413846423,-0.7965500001251371,0.9949331842636013
2022-23,ATL,Nate McMillan,2023-02-21,10,xpts_100poss,10,10,97.49705083416332,96.07125192098215,94.364664676015,93.68379941358367,-1.4257989131811684,-0.6808652624313254,-0.744933650749843
2023-24,MIL,Adrian Griffin,2024-01-23,10,xpts_100poss,10,10,96.82899038959647,92.01245766901809,95.47287417581481,96.79744965708832,-4.81653272057838,1.3245754812735129,-6.1411082018518925
2023-24,WAS,Wes Unseld Jr.,2024-01-26,10,xpts_100poss,10,10,94.43727435776282,94.03965016160075,95.54591130892152,97.13534862270843,-0.3976241961620701,1.5894373137869167,-1.9870615099489868
2023-24,BKN,Jacque Vaughn,2024-02-19,10,xpts_100poss,10,10,96.02706181721493,92.90705549353207,96.99714801012131,96.95789685057485,-3.1200063236828584,-0.03925115954645264,-3.0807551641364057
2024-25,SAC,Mike Brown,2024-12-27,10,xpts_100poss,10,10,89.07312967083462,87.03818745017473,94.39321105691238,95.40043625485015,-2.034942220659886,1.007225197937771,-3.042167418597657
2024-25,MEM,Taylor Jenkins,2025-03-28,10,xpts_100poss,10,9,90.2437452262452,96.04331773515091,95.18244916466769,96.08021721164876,5.799572508905712,0.8977680469810707,4.901804461924641
2022-23,BKN,Steve Nash,2022-11-01,10,pts_100poss,7,10,114.8265328387519,103.72016201974124,109.53408155396461,109.69796189184902,-11.106370819010664,0.16388033788440737,-11.270251156895071
2022-23,ATL,Nate McMillan,2023-02-21,10,pts_100poss,10,10,115.58655277799544,118.64011202738445,113.10316798910746,112.38083235725829,3.0535592493890107,-0.7223356318491767,3.7758948812381874
2023-24,MIL,Adrian Griffin,2024-01-23,10,pts_100poss,10,10,119.51582725571805,112.71380152912431,113.58948845365123,114.87370590884733,-6.80202572659374,1.2842174551960994,-8.08624318178984
2023-24,WAS,Wes Unseld Jr.,2024-01-26,10,pts_100poss,10,10,114.21853494418107,114.22331940751994,114.1858116716633,113.53567070302242,0.004784463338864953,-0.6501409686408834,0.6549254319797484
2023-24,BKN,Jacque Vaughn,2024-02-19,10,pts_100poss,10,10,116.63366336633665,107.75510204081633,113.67230485574154,111.06424502926617,-8.878561325520323,-2.608059826475369,-6.270501499044954
2024-25,SAC,Mike Brown,2024-12-27,10,pts_100poss,10,10,109.83549041010448,111.40512348519712,110.5855071201498,111.02164966899267,1.5696330750926393,0.4361425488428665,1.1334905262497728
2024-25,MEM,Taylor Jenkins,2025-03-28,10,pts_100poss,10,9,112.8038143970229,111.59481843278826,113.05844731452153,112.41866428001258,-1.2089959642346457,-0.6397830345089517,-0.569212929725694
2022-23,BKN,Steve Nash,2022-11-01,10,xpts_100shots,7,10,108.25695990242615,107.80978903197705,108.85002539503844,109.04908731241964,-0.4471708704490993,0.19906191738120071,-0.6462327878303
2022-23,ATL,Nate McMillan,2023-02-21,10,xpts_100shots,10,10,113.10544233588712,112.77624403582692,109.23222787687192,108.49866871084745,-0.3291983000601988,-0.7335591660244631,0.40436086596426435
2023-24,MIL,Adrian Griffin,2024-01-23,10,xpts_100shots,10,10,109.30407022901473,106.9747583456433,109.58698116322152,110.17016673394279,-2.3293118833714317,0.5831855707212696,-2.9124974540927013
2023-24,WAS,Wes Unseld Jr.,2024-01-26,10,xpts_100shots,10,10,107.86468769002813,108.00715327175345,109.43468840351765,110.42207805094868,0.1424655817253182,0.98738964743103,-0.8449240657057118
2023-24,BKN,Jacque Vaughn,2024-02-19,10,xpts_100shots,10,10,109.8384285791473,111.85370317403124,110.23107915690784,109.57053879923471,2.015274594883934,-0.6605403576731277,2.6758149525570616
2024-25,SAC,Mike Brown,2024-12-27,10,xpts_100shots,10,10,103.85926919619315,103.51688829878022,109.34901410566482,108.41223175721962,-0.3423808974129372,-0.936782348445206,0.5944014510322688
2024-25,MEM,Taylor Jenkins,2025-03-28,10,xpts_100shots,10,9,107.03530554489414,110.30926419873798,108.34254642345748,109.06239043785753,3.2739586538438346,0.7198440144000529,2.5541146394437817
2022-23,BKN,Steve Nash,2022-11-01,20,xpts_100poss,7,20,92.86170054907544,95.31285766587519,93.87025824622924,93.42807880792216,2.451157116799749,-0.44217943830707895,2.8933365551068277
2022-23,ATL,Nate McMillan,2023-02-21,20,xpts_100poss,20,20,99.96125484943089,99.42868236330001,94.07543110210244,94.35280169677871,-0.5325724861308743,0.27737059467627034,-0.8099430808071446
2023-24,MIL,Adrian Griffin,2024-01-23,20,xpts_100poss,20,20,98.43813385784017,93.96947632519411,95.56802681436936,97.054027497476,-4.468657532646063,1.4860006831066386,-5.954658215752701
2023-24,WAS,Wes Unseld Jr.,2024-01-26,20,xpts_100poss,20,20,96.85239691612206,95.27094911910262,95.59680298828017,96.94687369635224,-1.581447797019436,1.3500707080720673,-2.9315185050915034
2023-24,BKN,Jacque Vaughn,2024-02-19,20,xpts_100poss,20,20,93.27968201251393,95.96196914018061,96.2138589304641,96.76921974199081,2.682287127666683,0.555360811526711,2.126926316139972
2024-25,SAC,Mike Brown,2024-12-27,20,xpts_100poss,20,20,89.45552980712955,92.17801508817443,94.91571649435883,95.33284036281243,2.7224852810448823,0.4171238684536007,2.3053614125912816
2024-25,MEM,Taylor Jenkins,2025-03-28,20,xpts_100poss,20,9,92.69435925413296,96.04331773515091,95.07921904859249,96.08021721164876,3.348958481017945,1.0009981630562663,2.347960317961679
2022-23,BKN,Steve Nash,2022-11-01,20,pts_100poss,7,20,114.8265328387519,105.80912863070537,109.53408155396461,110.2669730150359,-9.017404208046528,0.73289146107129,-9.750295669117818
2022-23,ATL,Nate McMillan,2023-02-21,20,pts_100poss,20,20,114.82971832368239,117.3370721330497,113.16265534056946,113.33749719251448,2.5073538093673164,0.17484185194501833,2.332511957422298
2023-24,MIL,Adrian Griffin,2024-01-23,20,pts_100poss,20,20,115.33005485152262,108.74742022543263,113.80058585045668,112.81297203277337,-6.582634626089984,-0.9876138176833109,-5.595020808406673
2023-24,WAS,Wes Unseld Jr.,2024-01-26,20,pts_100poss,20,20,116.75141458938675,116.00432703256662,113.83157768706327,112.35018871256098,-0.7470875568201336,-1.4813889745022948,0.7343014176821612
2023-24,BKN,Jacque Vaughn,2024-02-19,20,pts_100poss,20,20,113.73560936879714,109.31597546610342,113.83575256533872,111.24912434948851,-4.419633902693718,-2.5866282158502116,-1.8330056868435065
2024-25,SAC,Mike Brown,2024-12-27,20,pts_100poss,20,20,112.23261504459704,114.09506151379956,110.65444441878901,111.81876808224017,1.8624464692025242,1.1643236634511567,0.6981228057513675
2024-25,MEM,Taylor Jenkins,2025-03-28,20,pts_100poss,20,9,115.12780286217188,111.59481843278826,112.36274584388437,112.41866428001258,-3.5329844293836175,0.05591843612820924,-3.5889028655118267
2022-23,BKN,Steve Nash,2022-11-01,20,xpts_100shots,7,20,108.25695990242615,109.63144832886236,108.85002539503844,109.25569067514945,1.3744884264362156,0.405665280111009,0.9688231463252066
2022-23,ATL,Nate McMillan,2023-02-21,20,xpts_100shots,20,20,113.10441151147714,114.19116413117699,109.06919690249511,108.81457396916134,1.0867526196998512,-0.2546229333337635,1.3413755530336147
2023-24,MIL,Adrian Griffin,2024-01-23,20,xpts_100shots,20,20,110.26322324288155,107.92729005080754,109.67836954360641,110.15465101564301,-2.335933192074009,0.47628147203660376,-2.8122146641106127
2023-24,WAS,Wes Unseld Jr.,2024-01-26,20,xpts_100shots,20,20,109.84374173390086,108.13175769485741,109.73017093793896,110.01557937534454,-1.7119840390434433,0.28540843740557875,-1.997392476449022
2023-24,BKN,Jacque Vaughn,2024-02-19,20,xpts_100shots,20,20,108.90916291519008,111.89995113142007,109.95282541409622,109.58115599423108,2.990788216229987,-0.37166941986514246,3.3624576360951295
2024-25,SAC,Mike Brown,2024-12-27,20,xpts_100shots,20,20,104.4527287674216,105.7076652761995,109.463112879128,108.45498770552614,1.2549365087779023,-1.0081251736018686,2.263061682379771
2024-25,MEM,Taylor Jenkins,2025-03-28,20,xpts_100shots,20,9,107.1298788169159,110.30926419873798,108.3319129357924,109.06239043785753,3.1793853818220725,0.7304775020651277,2.448907879756945
2022-23,BKN,Steve Nash,2022-11-01,30,xpts_100poss,7,30,92.86170054907544,95.0838611508142,93.87025824622924,93.47604632668006,2.2221606017387643,-0.39421191954917845,2.6163725212879427
2022-23,ATL,Nate McMillan,2023-02-21,30,xpts_100poss,30,23,99.3460869102605,99.29327815102752,93.85258925339888,94.54372671996896,-0.05280875923297401,0.6911374665700833,-0.7439462258030574
2023-24,MIL,Adrian Griffin,2024-01-23,30,xpts_100poss,30,30,97.7574429559057,94.20143789454232,95.38929599041333,96.79013499383494,-3.556005061363379,1.4008390034216092,-4.956844064784988
2023-24,WAS,Wes Unseld Jr.,2024-01-26,30,xpts_100poss,30,30,96.92231440453756,95.15249309480731,95.37628519945596,96.87064726771155,-1.769821309730247,1.4943620682555832,-3.2641833779858302
2023-24,BKN,Jacque Vaughn,2024-02-19,30,xpts_100poss,30,28,94.14984036649622,97.80947936712879,96.1418133104644,96.35989292048808,3.6596390006325663,0.21807961002367904,3.4415593906088873
2024-25,SAC,Mike Brown,2024-12-27,30,xpts_100poss,30,30,90.31053603957456,92.41019244774851,94.76971988633619,95.19784125979206,2.0996564081739564,0.4281213734558662,1.6715350347180902
2024-25,MEM,Taylor Jenkins,2025-03-28,30,xpts_100poss,30,9,95.11779951691483,96.04331773515091,95.09442164202437,96.08021721164876,0.9255182182360784,0.9857955696243863,-0.06027735138830792
2022-23,BKN,Steve Nash,2022-11-01,30,pts_100poss,7,30,114.8265328387519,106.92203683526526,109.53408155396461,111.17192934441745,-7.904496003486642,1.6378477904528381,-9.54234379393948
2022-23,ATL,Nate McMillan,2023-02-21,30,pts_100poss,30,23,114.01961793934399,116.83140214378734,113.07244623834634,113.11778580123529,2.811784204443356,0.04533956288894103,2.766444641554415
2023-24,MIL,Adrian Griffin,2024-01-23,30,pts_100poss,30,30,114.95082955501687,110.59582552708657,113.45765379015624,112.39910368163211,-4.355004027930292,-1.0585501085241305,-3.2964539194061615
2023-24,WAS,Wes Unseld Jr.,2024-01-26,30,pts_100poss,30,30,118.27157069185085,115.23952744465824,113.6518854095422,112.10437813655558,-3.032043247192618,-1.5475072729866213,-1.484535974205997
2023-24,BKN,Jacque Vaughn,2024-02-19,30,pts_100poss,30,28,116.1455983439051,110.10043996758132,113.88030517668415,111.15474277375772,-6.0451583763237835,-2.7255624029264283,-3.3195959733973552
2024-25,SAC,Mike Brown,2024-12-27,30,pts_100poss,30,30,110.78709610227304,113.03122738082929,110.60557909970042,111.86250175191752,2.244131278556253,1.2569226522170993,0.9872086263391537
2024-25,MEM,Taylor Jenkins,2025-03-28,30,pts_100poss,30,9,114.27298192004076,111.59481843278826,112.49549865376957,112.41866428001258,-2.6781634872525046,-0.07683437375699498,-2.6013291134955097
2022-23,BKN,Steve Nash,2022-11-01,30,xpts_100shots,7,30,108.25695990242615,110.037269895717,108.85002539503844,109.15766603003601,1.7803099932908566,0.30764063499756844,1.4726693582932882
2022-23,ATL,Nate McMillan,2023-02-21,30,xpts_100shots,30,23,112.54249238843133,114.03780635815231,109.05436358528256,108.93302903336817,1.495313969720982,-0.12133455191438713,1.6166485216353692
2023-24,MIL,Adrian Griffin,2024-01-23,30,xpts_100shots,30,30,108.97508387248399,106.92480395026493,109.48823432153489,109.85683034680333,-2.0502799222190617,0.36859602526844526,-2.418875947487507
2023-24,WAS,Wes Unseld Jr.,2024-01-26,30,xpts_100shots,30,30,109.53775323276764,108.48282856041041,109.47012604683118,109.86450983213318,-1.054924672357231,0.39438378530199714,-1.449308457659228
2023-24,BKN,Jacque Vaughn,2024-02-19,30,xpts_100shots,30,28,108.73476889407543,111.246811297961,109.97702670117354,109.57620944582987,2.512042403885573,-0.40081725534366797,2.912859659229241
2024-25,SAC,Mike Brown,2024-12-27,30,xpts_100shots,30,30,105.58772473887183,106.39273466216379,109.4139698300565,108.39598584660186,0.8050099232919621,-1.0179839834546414,1.8229939067466034
2024-25,MEM,Taylor Jenkins,2025-03-28,30,xpts_100shots,30,9,108.66257416812347,110.30926419873798,108.37926122122204,109.06239043785753,1.6466900306145078,0.6831292166354928,0.963560813979015
